id,movie_type,image,title,original_title,movie_genre,rating,launch_date,description,movie_link,movie_image_link,movie_status
239,2,movies/e5f4205f-668f-469b-9350-cc07bc0d813a.jpg,Sfârșitul lumii,Doomsday,18,5.9,2008-03-14,"<p><span style=""color:hsl(0, 0%, 0%);"">A futuristic action thriller where a team of people work to prevent a disaster threatening the future of the human race.</span></p>",https://www.imdb.com/title/tt0483607/,,2
238,2,movies/778a15ce-cd07-4e38-9fbc-fcfb6dbdfa18.jpg,Ultimele zile ale lui Hitler,Der Untergang,4,8.2,2004-09-08,"<p><span style=""color:hsl(0, 0%, 0%);"">Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.</span></p>",https://www.imdb.com/title/tt0363163/,,2
237,1,movies/10232d54-83f6-4682-a194-07a68aeb0b49.jpg,Fallout,Fallout,1,0.0,2024-04-12,"<p><span style=""color:hsl(0,0%,0%);"">In a future, post-apocalyptic Los Angeles brought about by nuclear decimation, citizens must live in underground bunkers to protect themselves from radiation, mutants and bandits.</span></p>",https://www.imdb.com/title/tt12637874/,,3
236,1,movies/499507f3-0b06-4b84-80be-c80bb3c662a3.jpg,Gambitul damei,The Queen's Gambit,8,8.5,2020-10-23,"<p><span style=""color:hsl(0, 0%, 0%);"">Orphaned at the tender age of nine, prodigious introvert Beth Harmon discovers and masters the game of chess in 1960s USA. But child stardom comes at a price.</span></p>",https://www.imdb.com/title/tt10048342/,,2
235,1,movies/2832378a-1408-4a06-ab80-c3e0493c3080.jpg,Peaky Blinders,Peaky Blinders,6,8.8,2013-09-12,"<p><span style=""color:hsl(0, 0%, 0%);"">A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.</span></p>",https://www.imdb.com/title/tt2442560/,,2
234,1,movies/99b14dd7-1eee-40e3-bfef-777cbed46698.jpg,Monarch: Legacy of Monsters,Monarch: Legacy of Monsters,1,7.0,2023-11-17,"<p><span style=""color:hsl(0, 0%, 0%);"">Set after the battle between Godzilla and the Titans, revealing that monsters are real, follows one family's journey to uncover its buried secrets and a legacy linking them to Monarch.</span></p>",https://www.imdb.com/title/tt17220216/,,2
233,1,movies/0266b40d-c889-42d1-83e2-f954d7617c83.jpg,Breaking Bad,Breaking Bad,6,9.5,2008-01-20,"<p><span style=""color:hsl(0, 0%, 0%);"">A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student in order to secure his family's future.</span></p>",https://www.imdb.com/title/tt0903747/,,2
232,1,movies/3959fe21-c6f8-43dd-89bb-f00d5cdc1114.jpg,Vikingii,Vikings,1,8.5,2013-03-03,"<p><span style=""color:hsl(0, 0%, 0%);"">Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore--and raid--the distant shores across the ocean.</span></p>",https://www.imdb.com/title/tt2306299/,,2
231,1,movies/7d000867-a448-4082-99d5-c4d8e635c8c2.jpg,Sons of anarchy,Sons of anarchy,6,8.4,2009-08-18,"<p><span style=""color:hsl(0, 0%, 0%);"">A biker struggles to balance being a father and being involved in an outlaw motorcycle club.</span></p>",https://www.imdb.com/title/tt1124373/,,2
230,1,movies/157e1127-d0c7-4050-bc20-83c58e12bf9a.jpg,Mayor of Kingstown,Mayor of Kingstown,6,8.2,2021-11-13,"<p><span style=""color:hsl(0, 0%, 0%);"">The McLusky family are power brokers tackling themes of systemic racism, corruption and inequality in Kingstown, Michigan, where the business of incarceration is the only thriving industry.</span></p>",https://www.imdb.com/title/tt11712058/,,2
229,1,movies/c5b45a52-7293-4822-88b7-caa91fffaf7c.jpg,Destrămarea iluziilor,Fool Me Once,6,6.8,2024-01-01,"<p><span style=""color:hsl(0, 0%, 0%);"">Widowed mum Maya is disturbed by an image of her late husband captured on her toddler's nanny cam.</span></p>",https://www.imdb.com/title/tt5611024/,,2
228,1,movies/d5f8e316-3675-413b-85dc-33a402520151.jpg,1923,1923,8,8.3,2022-12-18,"<p><span style=""color:hsl(0, 0%, 0%);"">The Duttons face a new set of challenges in the early 20th century, including the rise of Western expansion, Prohibition, and the Great Depression.</span></p>",https://www.imdb.com/title/tt18335752/,,2
227,1,movies/cfe8c8c3-505e-4c53-9f73-53f6c2540422.jpg,Yellowstone,Yellowstone,8,8.7,2018-06-19,"<p><span style=""color:hsl(0, 0%, 0%);"">A ranching family in Montana faces off against others encroaching on their land.</span></p>",https://www.imdb.com/title/tt4236770/,,2
226,1,movies/3a54870e-e6ec-47e4-800a-840fdbcff475.jpg,Viespile,Yellowjackets,8,7.8,2021-11-14,"<p><span style=""color:hsl(0, 0%, 0%);"">A wildly talented girls high school soccer team become the unlucky survivors of a plane crash deep in the Canadian wilderness.</span></p>",https://www.imdb.com/title/tt11041332/,,2
225,1,movies/b9142e1f-7014-4533-9589-0c8b1d919b71.jpg,Oglinda neagra,Black Mirror,18,8.7,2011-12-04,"<p><span style=""color:hsl(0, 0%, 0%);"">Featuring stand-alone dramas -- sharp, suspenseful, satirical tales that explore techno-paranoia -- ""Black Mirror"" is a contemporary reworking of ""The Twilight Zone"" with stories that tap into the collective unease about the modern world.</span></p>",https://www.imdb.com/title/tt2085059/,,2
224,1,movies/56257914-4445-4b37-90b1-7972199482b9.jpg,The Walking Dead: Invazia zombi,The Walking Dead,8,8.1,2010-10-31,"<p><span style=""color:hsl(0, 0%, 0%);"">Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.</span></p>",https://www.imdb.com/title/tt1520211/,,2
223,1,movies/5d04a8a8-21cf-4d22-a2f4-7d235383e92a.jpg,Reacher,Reacher,1,8.1,2022-02-03,"<p><span style=""color:hsl(0, 0%, 0%);"">Itinerant former military policeman Jack Reacher solves crimes and metes out his own brand of street justice. Based on the novels by Lee Child.</span></p>",https://www.imdb.com/title/tt9288030/,,2
222,1,movies/548a6a81-e9c2-4cb6-8d95-742701f7e41f.jpg,Percy Jackson and the Olympians,Percy Jackson and the Olympians,2,7.2,2023-12-19,"<p><span style=""color:hsl(0, 0%, 0%);"">Demigod Percy Jackson leads a quest across America to prevent a war among the Olympian gods.</span></p>",https://www.imdb.com/title/tt12324366/,,2
