Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
42626923,Scara lui Iakov,Lyudmila Ulitskaya,"Ulitskaya, Lyudmila","Gabriela Russo, Ludmila Uliţkaia","=""6067794276""","=""9786067794274""",0,4.25,Humanitas Fiction,Paperback,584,2018,2015,,2020/03/02,to-read,to-read (#52),to-read,,,,0,0
22384536,"Umbra vântului (Cimitirul cărților uitate, #1)",Carlos Ruiz Zafón,"Zafón, Carlos Ruiz",,"=""""","=""""",0,4.30,,Unknown Binding,488,2013,2001,,2020/03/02,to-read,to-read (#51),to-read,,,,0,0
13448206,Jocul îngerului,Carlos Ruiz Zafón,"Zafón, Carlos Ruiz",Dragoş Cojocaru,"=""""","=""9789734613892""",0,4.00,Polirom,Paperback,472,2009,2008,,2020/03/02,to-read,to-read (#50),to-read,,,,0,0
24687715,"Prizonierul cerului (Cimitirul cărților uitate, #3)",Carlos Ruiz Zafón,"Zafón, Carlos Ruiz",Ileana Scipione,"=""9734640518""","=""9789734640515""",0,4.12,Polirom,Paperback,248,2013,2011,,2020/03/02,to-read,to-read (#49),to-read,,,,0,0
40407687,"Labirintul spiritelor (Cimitirul cărților uitate, #4)",Carlos Ruiz Zafón,"Zafón, Carlos Ruiz",Marin Mălaicu-Hondrari,"=""9734671472""","=""9789734671472""",0,4.53,Polirom,Hardcover,896,2018,2016,,2020/03/02,to-read,to-read (#48),to-read,,,,0,0
13052352,Înainte să adorm,S.J. Watson,"Watson, S.J.",Laurenţiu Dulman,"=""9737075145""","=""9789737075147""",0,3.90,Editura Trei,Paperback,440,2011,2011,,2020/03/02,to-read,to-read (#47),to-read,,,,0,0
30526043,"Carieră malefică (Cormoran Strike, #3)",Robert Galbraith,"Galbraith, Robert",Ciprian Şiulea,"=""6067197332""","=""9786067197334""",0,4.22,Editura Trei,Paperback,644,2016,2015,,2020/03/02,to-read,to-read (#46),to-read,,,,0,0
18775828,"Chemarea cucului (Cormoran Strike, #1)",Robert Galbraith,"Galbraith, Robert","J.K. Rowling, Constantin Dumitru-Palcus","=""9737078802""","=""9789737078803""",0,3.89,Trei,Paperback,616,2013,2013,,2020/03/02,to-read,to-read (#45),to-read,,,,0,0
24230610,"Viermele de mătase (Cormoran Strike, #2)",Robert Galbraith,"Galbraith, Robert","J.K. Rowling, Ciprian Şiulea","=""6067191806""","=""9786067191806""",0,4.05,Trei,Paperback,640,2014,2014,,2020/03/02,to-read,to-read (#44),to-read,,,,0,0
45213705,Alb letal,Robert Galbraith,"Galbraith, Robert",Ciprian Şiulea,"=""6064006420""","=""9786064006424""",0,4.24,Trei,Paperback,832,2019,2018,,2020/03/02,to-read,to-read (#43),to-read,,,,0,0
