id,book_type,book_language,authors,image,title,book_genre,rating,published_date,description,isbn_13,page_count,book_status,date_added,date_read,goodreads_link
538,1,1,Robert Galbraith,,Alb letal,,4.24,,,9786064006424,832,3,3/2/2020,,
539,1,1,Philip Roth,,Pastorala americană,,3.94,,,9789734614677,584,3,3/2/2020,,
540,1,1,Stephen King,,The Shining ,,4.27,,,9780450040184,497,3,3/2/2020,,
541,1,1,Stephen King,,Doctor Sleep ,,4.13,,,9781476727653,531,3,3/2/2020,,
542,1,1,Stephen King,,Străinul,,4.01,,,,704,3,3/2/2020,,
543,1,1,Stephen King,,Frumoasele adormite,,3.73,,,,840,3,3/2/2020,,
544,1,1,Stephen King,,It,,4.24,,,9780450411434,1168,3,3/2/2020,,
545,1,1,Dan Brown,,Conspiraţia,,3.75,,,9786068255262,512,3,3/2/2020,,
546,1,1,Dan Brown,,Fortăreaţa digitală,,3.69,,,9789735400637,448,3,3/2/2020,,
547,1,1,Dan Brown,,Origini,,3.89,,,9786068905495,530,3,3/2/2020,,
548,1,1,Dan Brown,,Inferno ,,3.88,,,9780385538176,463,3,3/2/2020,,
549,1,1,Dan Brown,,Simbolul pierdut,,3.75,,,9789735401399,477,3,3/2/2020,,
550,1,1,Éric-Emmanuel Schmitt,,Noaptea de foc,,3.84,,,9786067791037,200,3,3/2/2020,,
551,1,1,Agatha Christie,,Zece Negrii Mititei,,4.28,,,,224,3,3/2/2020,,
552,1,1,Agatha Christie,,Crima din Orient Express ,,4.2,,,9789731035628,250,3,3/2/2020,,
553,1,1,Paula Hawkins,,Fata din tren,,3.96,,,,408,3,3/2/2020,,
554,1,1,John Grisham,,Informatorul,,3.96,,,9786060060222,384,3,3/2/2020,,
555,1,1,Neil Gaiman,,Zei americani,,4.11,,,,640,3,3/2/2020,,
556,1,1,Stephen King,,Talismanul,,4.12,,,9786068073514,736,3,3/2/2020,,
557,1,1,Andrew Gross,,Vălul întunecat ,,3.73,,,9789734706709,496,3,3/2/2020,,
558,1,1,Stephen King,,Casa întunericului,,4.03,,,9789731430812,752,3,3/2/2020,,
559,1,1,Stephen King,,Cimitirul animalelor,,4.06,,,9789735697617,432,3,3/2/2020,,
560,1,1,Dean Koontz,,Fara indurare,,3.77,,,9786066004008,413,3,3/2/2020,,
561,1,1,Håkan Nesser,,Întoarcerea,,3.7,,,9789737075369,240,3,3/2/2020,,
562,1,1,Yrsa Sigurdardottir,,Zile întunecate,,3.69,,,9789737075383,378,3,3/2/2020,,
563,1,1,Anders Roslund,,Răzbunarea lui Finnigan,,3.75,,,9789737075161,357,3,3/2/2020,,
564,1,1,Camilla Läckberg,,Piază rea ,,3.81,,,9789737075260,360,3,3/2/2020,,
565,1,1,Liza Marklund,,Prime-Time ,,3.38,,,9789737075451,374,3,3/2/2020,,
566,1,1,Kjell Ola Dahl,,Al patrulea...,,3.61,,,9789737074607,292,3,3/2/2020,,
567,1,1,Liza Marklund,,Explozii în Stockholm,,3.46,,,9789737074454,384,3,3/2/2020,,
568,1,1,Håkan Nesser,,Cu ochii mintii ,,3.59,,,9789737074614,256,3,3/2/2020,,
569,1,1,Stieg Larsson,,Fata care s-a jucat cu focul ,,4.25,,,9789737072634,757,3,3/2/2020,,
570,1,1,Stieg Larsson,,Castelul din nori s-a sfărâmat ,,4.24,,,9789737073044,853,3,3/2/2020,,
571,1,1,Stieg Larsson,,Bărbați care urăsc femeile,,4.17,,,9789737074089,688,3,3/2/2020,,
572,1,1,Mons Kallentoft,,Sacrificiul din miezul iernii,,3.5,,,9789737074522,416,3,3/2/2020,,
573,1,1,Johan Theorin,,Ecouri de dincolo de moarte,,3.8,,,9789737074560,391,3,3/2/2020,,
574,1,1,Camilla Läckberg,,Prinţesa gheţurilor,,3.76,,,9789737074430,352,3,3/2/2020,,
575,1,1,Alex Berenson,,Agentul Credincios ,,4.02,,,9789735016944,440,3,3/2/2020,,
576,1,1,Craig Russell,,Roșu pentru totdeauna ,,3.87,,,9786066092814,407,3,3/2/2020,,
577,1,1,Steve Berry,,Răzbunare la Paris ,,3.94,,,9786066009027,464,3,3/2/2020,,
