id,book_type,book_language,authors,image,title,book_genre,rating,published_date,description,isbn_13,page_count,book_status,date_added,date_read,goodreads_link,goodreads_book_id,goodreads_image_link
176,1,,Douglas Preston,,Vitrina de curiozitati ,,4.26,,,,571,,2020-04-08,,,25186197,
177,1,,Stefan Ahnhem,,Victimă fără chip,,3.97,,,,640,,2020-04-08,,,43658571,
178,1,,Caroline Kepnes,,You ,,3.96,,,9781501195433,464,,2020-04-08,,,36430011,
179,1,,Caroline Kepnes,,Corpuri ascunse ,,3.74,,,9786067632170,480,,2020-04-08,,,51195228,
180,1,,Karen M. McManus,,Unul dintre noi urmează ,,3.92,,,9786067632866,416,,2020-04-08,,,52237484,
181,1,,Karen M. McManus,,Doi pot ține un secret,,3.94,,,9786067631913,336,,2020-04-08,,,43726390,
182,1,,Michael Connelly,,Avocatul din limuzina ,,4.21,,,9786066097475,400,,2020-04-08,,,43474452,
183,1,,Michael Connelly,,Până la Capăt,,4.2,,,,400,,2020-04-08,,,29476079,
184,1,,Rachel Caine,,Heartbreak Bay ,,4.31,,,9781542093668,336,,2020-04-08,,,48763358,
185,1,,Rachel Caine,,Bitter Falls ,,4.28,,,9781542042345,336,,2020-04-08,,,44066986,
186,1,,Rachel Caine,,Wolfhunter River ,,4.13,,,9781503957312,330,,2020-04-08,,,36565384,
187,1,,Rachel Caine,,Refugiul de la Stillhouse Lake ,,4.12,,,9786067632187,336,,2020-04-08,,,43167039,
188,1,,Rachel Caine,,Coșmarul de la Killman Creek ,,4.25,,,9786067632347,368,,2020-04-08,,,51789603,
189,1,,Martin Cruz Smith,,Steaua Polară,,3.98,,,9786068673097,416,,2020-04-08,,,31683622,
190,1,,James Lee Burke,,Prizonierii raiului,,4.1,,,,368,,2020-04-08,,,29365752,
191,1,,Frances Fyfield,,Sânge din Piatră,,3.53,,,9786069351017,360,,2020-04-08,,,29365898,
192,1,,John Verdon,,Gândește-te la un număr,,3.88,,,9786068673554,520,,2020-04-08,,,36761253,
193,1,,Tony Hillerman,,Lupul din umbră,,4.02,,,9786068673080,232,,2020-04-08,,,34733429,
194,1,,Richard Stark,,Vanatorul ,,4.01,,,9786068673066,208,,2020-04-08,,,35224550,
195,1,,James M. Cain,,Poştaşul sună întotdeauna de două ori,,3.77,,,9789736754234,144,,2020-04-08,,,8270887,
196,1,,Max Brooks,,Războiul Z,,4.02,,,9789737076779,448,,2020-04-08,,,17191242,
197,1,,Cormac McCarthy,,The Road,,3.99,,,9780307265432,241,,2020-04-08,,,6288,
198,1,,Jo Nesbø,,Omul de zăpadă ,,4.02,,,9786066095228,507,,2020-04-02,,,21898887,
199,1,,H.G. Wells,,Omul invizibil. Războiul lumilor,,3.84,,,9786065391949,416,,2020-03-21,,,8189209,
200,1,,Tom Gabbay,,Conspiratia din Berlin,,3.78,,,,320,,2020-03-02,2020-03-07,,38841898,
201,1,,Geoffrey Girard,,Mary Rose,,3.32,,,9781681689647,0,,2020-03-21,,,35801517,
202,1,,Yrsa Sigurdardottir,,Suflete damnate,,3.75,,,9789737074287,432,,2020-03-02,2020-03-21,,17875754,
203,1,,Jack London,,Chemarea străbunilor,,3.9,,,9789731848877,270,,2020-03-10,,,6396702,
204,1,,Stephen King,,1922,,3.91,,,,132,,2020-03-10,,,22844166,
205,1,,Arnaldur Indriðason,,Orasul borcanelor,,3.81,,,9789737074461,256,,2020-03-02,2020-03-10,,13051440,
206,1,,Patrick Ness,,Vocea pumnalului ,,3.97,,,,512,,2020-03-07,,,25532178,
207,1,,Walter Dean Myers,,Monstrul,,3.73,,,9786067197402,280,,2020-03-07,,,35480317,
208,1,,Taylor Stevens,,Inocentii ,,3.89,,,,416,,2020-03-07,,,34540641,
209,1,,James Dashner,,Cu ochii minții ,,3.84,,,,320,,2020-03-07,,,32922095,
210,1,,Federico Axat,,Ultima scapare,,3.84,,,9786064000521,496,,2020-03-07,,,37783320,
211,1,,Lauren Frankel,,Adevăr sau Provocare,,3.51,,,,368,,2020-03-07,,,29475966,
212,1,,Mark  Lawrence,,Prinţul Spinilor ,,3.84,,,9789737078315,392,,2020-03-07,,,23058820,
213,1,,Luca D'Andrea,,Esența răului,,3.59,,,9786064000590,512,,2020-03-07,,,35718927,
214,1,,Kevin Sands,,Cheia Maestrului,,4.16,,,9786067195309,336,,2020-03-07,,,27865686,
215,1,,Patrick Ness,,Pe viață și pe moarte,,4.19,,,,536,,2020-03-07,,,29957327,
216,1,,Jill Alexander Essbaum,,Casnica,,3.24,,,,0,,2020-03-07,,,32686102,
217,1,,Andrew Michael Hurley,,Ţinutul Loney,,3.27,,,9786067195408,376,,2020-03-07,,,32617475,
218,1,,Matt Haig,,Băiatul Echo,,3.76,,,9786067192896,448,,2020-03-07,,,25835442,
219,1,,Jenny Hubbard,,Zăpada mieilor,,3.44,,,9786067197020,240,,2020-03-07,,,34829173,
220,1,,Keith Stuart,,Băiatul care voia să-și construiască lumea,,4.29,,,9786064000217,464,,2020-03-07,,,35080052,
221,1,,A.J. Kazinski,,Somnul și moartea ,,3.95,,,9789737078735,608,,2020-03-07,,,20317466,
222,1,,Arnaldur Indriðason,,Linistea mormantului,,3.96,,,9789737074553,336,,2020-03-07,,,16179589,
223,1,,Anne Holt,,Fericiţi cei însetaţi,,3.6,,,9789737078841,264,,2020-03-07,,,19477164,
224,1,,Marina Anderson,,Secrete întunecate ,,3.36,,,,200,,2020-03-07,,,28948022,
225,1,,Lola Lafon,,Fetiţa care nu zâmbea niciodată,,3.72,,,9786067190601,296,,2020-03-07,,,23429990,
226,1,,Arnaldur Indriðason,,Vocile,,3.87,,,9789737075352,376,,2020-03-07,,,16159055,
227,1,,Michael A. Stackpole,,Talion: Revenantul,,4.17,,,9789737078216,624,,2020-03-07,,,23517013,
228,1,,Salla Simukka,,Alb ca zăpada ,,3.47,,,9786067191745,192,,2020-03-07,,,25015750,
229,1,,Félix J. Palma,,Harta cerului,,3.94,,,9789737076847,728,,2020-03-07,,,16156365,
230,1,,Moïra Fowley-Doyle,,Sezonul accidentelor,,3.55,,,9786067199093,272,,2020-03-07,,,35011679,
231,1,,Stoian G. Bogdan,,Nu Stiu Cate Zile,,3.55,,,9789737074256,188,,2020-03-07,,,13051111,
232,1,,Jan Wallentin,,Steaua lui Strindberg,,2.7,,,9789737077486,544,,2020-03-07,,,18665418,
233,1,,Lars Kepler,,Sub hipnoza   ,,3.74,,,9789737074065,664,,2020-03-07,,,16179627,
234,1,,Harlan Ellison,,Viziuni periculoase,,4.17,,,9789737078674,800,,2020-03-07,,,23255568,
235,1,,Johan Theorin,,Camera intunecata,,3.84,,,9789737074782,496,,2020-03-07,,,16179343,
236,1,,Stephen King,,La miezul nopţii 1,,4.36,,,9789737070630,616,,2020-03-07,,,20697849,
237,1,,Stephen King,,La miezul nopţii 2,,4.05,,,9789737072061,552,,2020-03-07,,,20697881,
238,1,,Paul McAuley,,Copilul fluviului ,,3.7,,,9789737078988,456,,2020-03-07,,,21874551,
239,1,,Alexander Söderberg,,Prietenul andaluz,,3.21,,,9789737077493,600,,2020-03-07,,,21903591,
240,1,,Ciprian Măceșaru,,Portbagaj,,3.14,,,9786067190144,104,,2020-03-07,,,22006299,
241,1,,Lloyd Jones,,Mister Pip,,3.68,,,9780385341066,256,,2020-03-07,,,543873,
242,1,,Danny Wallace,,Yes Man,,4.08,,,9781416918349,371,,2020-03-07,,,87804,
243,1,,Joël Dicker,,Cartea clanului din Baltimore,,4.12,,,9786067197600,488,,2020-03-07,,,30545491,
244,1,,Yasmina Khadra,,Sirenele Bagdadului,,3.86,,,9789737072849,296,,2020-03-07,,,16187748,
245,1,,Salla Simukka,,Negru ca abanosul ,,3.54,,,9786067197686,160,,2020-03-07,,,31187394,
246,1,,Jean-Christophe Grangé,,Kaïken,,3.65,,,9782226243034,480,,2020-03-07,,,15992745,
247,1,,Serge Brussolo,,Secțiune printr-un oraș bolnav,,3.56,,,9786067190908,248,,2020-03-07,,,23628464,
248,1,,Erika Johansen,,Regina Adevărată ,,3.99,,,9786067191691,536,,2020-03-07,,,25641878,
